Close Datetime,Datetime,Type,Limit,SL,TP,Return,Currency Pair
2022-09-20 11:30:00,2022-09-20 10:00:00,BUY,1.0007,0.9997,1.0039,-1,EURUSD
2023-07-24 01:15:00,2023-07-21 14:45:00,SELL,0.8657,0.8666999999999999,0.8627,-1,USDCHF
2023-07-24 07:30:00,2023-07-21 09:30:00,SELL,0.866,0.8672,0.8626,-1,USDCHF
2022-09-26 15:30:00,2022-09-26 14:45:00,BUY,0.9655,0.9632000000000001,0.9723,-1,EURUSD
2023-08-17 15:15:00,2023-08-17 14:30:00,SELL,0.8779,0.8789,0.8747,-1,USDCHF
2022-11-16 10:00:00,2022-11-16 09:15:00,SELL,1.0411,1.0427,1.0362,-1,EURUSD
2023-08-18 11:15:00,2023-08-18 09:15:00,SELL,0.8803,0.881,0.8781,-1,USDCHF
2022-11-22 18:45:00,2022-11-22 14:15:00,BUY,1.0264,1.0251000000000001,1.0302,3,EURUSD
2023-01-04 08:30:00,2023-01-04 08:15:00,SELL,1.0615,1.0634,1.0559,-1,EURUSD
2023-08-29 11:00:00,2023-08-29 09:00:00,SELL,0.8845,0.8854,0.8816,-1,USDCHF
2023-09-04 14:00:00,2023-09-04 09:15:00,SELL,0.8842,0.885,0.882,-1,USDCHF
2023-01-04 14:45:00,2023-01-04 13:30:00,SELL,1.0612,1.0622,1.0582,-1,EURUSD
2023-09-12 21:00:00,2023-09-12 13:45:00,SELL,0.8927,0.8936999999999999,0.8899,3,USDCHF
2023-01-05 13:30:00,2023-01-05 09:30:00,SELL,1.0618,1.0632,1.0576,3,EURUSD
2023-09-13 08:45:00,2023-09-13 08:15:00,SELL,0.8922,0.893,0.8899,-1,USDCHF
2023-01-10 14:30:00,2023-01-10 09:30:00,SELL,1.0737,1.0755,1.0682,-1,EURUSD
2023-01-13 11:15:00,2023-01-13 08:45:00,SELL,1.0854,1.0867,1.0813,3,EURUSD
2023-01-17 12:45:00,2023-01-17 09:45:00,BUY,1.0819,1.0808,1.0852,3,EURUSD
2023-01-27 13:00:00,2023-01-27 08:15:00,BUY,1.0875,1.0862,1.0914,-1,EURUSD
2023-02-01 10:45:00,2023-02-01 08:45:00,SELL,1.0882,1.0891,1.0857,-1,EURUSD
2023-02-21 09:15:00,2023-02-20 14:30:00,SELL,1.0684,1.0694,1.0655,3,EURUSD
2023-02-21 09:15:00,2023-02-20 15:00:00,SELL,1.0686,1.0696999999999999,1.0652,3,EURUSD
2023-03-08 15:00:00,2023-03-08 10:00:00,BUY,1.054,1.0531,1.0568,-1,EURUSD
2023-03-10 00:15:00,2023-03-09 13:15:00,BUY,1.0561,1.0549,1.0596,3,EURUSD
2023-03-10 13:30:00,2023-03-09 08:30:00,BUY,1.0563,1.0545,1.0617,3,EURUSD
2023-03-13 14:45:00,2023-03-13 14:00:00,SELL,1.0698,1.0727,1.0611,-1,EURUSD
2023-03-23 15:00:00,2023-03-23 14:15:00,SELL,1.0884,1.0896,1.0848,-1,EURUSD
2023-04-06 13:00:00,2023-04-06 09:15:00,BUY,1.0899,1.0889,1.0928,-1,EURUSD
2023-04-07 12:30:00,2023-04-07 09:00:00,BUY,1.0915,1.0908,1.0937,-1,EURUSD
2023-04-07 12:30:00,2023-04-07 10:00:00,BUY,1.0914,1.0907,1.0937,-1,EURUSD
2023-04-12 05:30:00,2023-04-11 14:00:00,SELL,1.0921,1.0931,1.0893,-1,EURUSD
2023-04-12 12:30:00,2023-04-12 10:00:00,SELL,1.0927,1.0938999999999999,1.089,-1,EURUSD
2023-04-24 12:45:00,2023-04-24 09:30:00,SELL,1.1016,1.1023,1.0995,-1,EURUSD
2023-04-26 08:45:00,2023-04-26 08:30:00,SELL,1.1031,1.1043,1.0996,-1,EURUSD
2023-04-27 12:30:00,2023-04-27 08:30:00,SELL,1.105,1.1062,1.1013,3,EURUSD
2023-06-26 11:30:00,2023-06-23 14:45:00,BUY,1.0885,1.0876000000000001,1.0912,3,EURUSD
2023-08-09 14:00:00,2023-08-09 13:30:00,SELL,1.0979,1.0991,1.0943,-1,EURUSD
2023-08-15 09:30:00,2023-08-15 08:45:00,SELL,1.0928,1.0937,1.0899,-1,EURUSD
2023-08-15 12:30:00,2023-08-15 09:45:00,SELL,1.0936,1.0948,1.09,3,EURUSD
2023-08-29 12:00:00,2023-08-29 09:00:00,BUY,1.0813,1.0802,1.0846,-1,EURUSD
2023-08-29 12:15:00,2023-08-28 13:30:00,BUY,1.0807,1.0796000000000001,1.084,-1,EURUSD
2023-09-07 10:30:00,2023-09-07 08:15:00,BUY,1.0712,1.0705,1.0732,-1,EURUSD
2023-09-15 10:45:00,2023-09-15 09:15:00,BUY,1.0666,1.0658,1.0691,-1,EURUSD
