Date,Time,Currency,Name,,,,,
2020-03-13 00:00:00,18:13,CAD,BOC Gov Poloz Speaks,,,,,116012
2020-03-13 00:00:00,19:30,USD,President Trump Speaks,,,,,116008
2020-03-15 00:00:00,19:00,NZD,Official Cash Rate,0.25%,,1.00%,,116013
2020-03-15 00:00:00,19:00,NZD,RBNZ Rate Statement,,,,,116014
2020-03-15 00:00:00,21:00,USD,Fed Announcement,,,,,116024
2020-03-15 00:00:00,21:00,USD,Federal Funds Rate,<0.25%,,1.25%,,116015
2020-03-15 00:00:00,21:00,USD,FOMC Statement,,,,,116016
2020-03-15 00:00:00,21:17,USD,President Trump Speaks,,,,,116017
2020-03-15 00:00:00,22:00,NZD,RBNZ Press Conference,,,,,116019
2020-03-15 00:00:00,22:30,USD,FOMC Press Conference,,,,,116018
2020-03-16 00:00:00,02:00,CNY,Industrial Production y/y,-13.5%,-3.0%,6.9%,,115682
2020-03-16 00:00:00,05:06,JPY,BOJ Policy Rate,-0.10%,-0.10%,-0.10%,,116020
2020-03-16 00:00:00,05:06,JPY,Monetary Policy Statement,,,,,116021
2020-03-16 00:00:00,10:15,All,G7 Meetings,,,,,116009
2020-03-16 00:00:00,19:25,USD,President Trump Speaks,,,,,116029
2020-03-17 00:00:00,00:30,AUD,Monetary Policy Meeting Minutes,,,,,114533
2020-03-17 00:00:00,10:00,EUR,German ZEW Economic Sentiment,-49.5,-29.7,8.7,,115882
2020-03-17 00:00:00,10:15,EUR,EU Economic Summit,,,,,116026
2020-03-17 00:00:00,12:30,USD,Core Retail Sales m/m,-0.4%,0.1%,0.6%,0.3%,114247
2020-03-17 00:00:00,12:30,USD,Retail Sales m/m,-0.5%,0.2%,0.6%,0.3%,114246
2020-03-17 00:00:00,14:45,USD,Fed Announcement,,,,,116031
2020-03-17 00:00:00,15:40,USD,President Trump Speaks,,,,,116032
2020-03-17 00:00:00,22:00,USD,Fed Announcement,,,,,116034
2020-03-18 00:00:00,00:30,AUD,Retail Sales m/m,0.4%,0.4%,-0.3%,,116030
2020-03-18 00:00:00,12:30,CAD,CPI m/m,0.4%,0.4%,0.3%,,114412
2020-03-18 00:00:00,15:51,CAD,BOC Gov Poloz Speaks,,,,,116036
2020-03-18 00:00:00,16:07,USD,President Trump Speaks,,,,,116035
2020-03-18 00:00:00,21:45,NZD,GDP q/q,0.5%,0.5%,0.8%,0.7%,113495
2020-03-19 00:00:00,00:30,AUD,Employment Change,26.7K,8.5K,12.9K,13.5K,114586
2020-03-19 00:00:00,00:30,AUD,Unemployment Rate,5.1%,5.3%,5.3%,,114598
2020-03-19 00:00:00,03:30,AUD,Cash Rate,0.25%,,0.50%,,116048
2020-03-19 00:00:00,03:30,AUD,RBA Rate Statement,,,,,116049
2020-03-19 00:00:00,05:00,AUD,RBA Gov Lowe Speaks,,,,,116033
2020-03-19 00:00:00,08:30,CHF,SNB Monetary Policy Assessment,,,,,112063
2020-03-19 00:00:00,08:30,CHF,SNB Policy Rate,-0.75%,-0.75%,-0.75%,,112064
2020-03-19 00:00:00,09:00,EUR,German ifo Business Climate,87.7,,96.0,96.1,116052
2020-03-19 00:00:00,09:15,CHF,SNB Press Conference,,,,,116051
2020-03-19 00:00:00,13:00,USD,Fed Announcement,,,,,116053
2020-03-19 00:00:00,14:30,GBP,Monetary Policy Summary,,,,,116055
2020-03-19 00:00:00,14:30,GBP,MPC Official Bank Rate Votes,0-9-0,,0-9-0,,116058
2020-03-19 00:00:00,14:30,GBP,Official Bank Rate,0.10%,,0.25%,,116054
2020-03-19 00:00:00,15:38,USD,President Trump Speaks,,,,,116046
