Datetime,H4_high,H4_low,Last_Fractal_High,Last_Fractal_Low,Directional_bias,Bar_High,Bar_Low,result
2022-09-08 22:00:00,1.00115,0.98991,0.99359,0.99956,1,1.00001,0.99956,1
2022-09-09 02:00:00,1.00589,0.99956,0.99359,0.99956,1,1.00589,1.005,1
2022-09-09 06:00:00,1.00685,0.99956,0.99359,0.99956,1,1.00685,1.00582,1
2022-09-09 06:00:00,1.00685,0.99956,0.99359,1.00582,1,1.00685,1.00582,1
2022-09-09 10:00:00,1.00974,1.00582,0.99359,1.00582,-1,1.00974,1.00814,-1
2022-09-09 10:00:00,1.00974,1.00582,1.00974,1.00582,-1,1.00974,1.00814,-1
2022-09-09 14:00:00,1.00974,1.0046,1.00974,1.00582,-2,1.00613,1.0046,-1
2022-09-09 14:00:00,1.00974,1.0046,1.00613,1.00582,-2,1.00613,1.0046,-1
2022-09-09 18:00:00,1.00613,1.00385,1.00613,1.00582,1,1.00438,1.00385,1
2022-09-11 22:00:00,1.00944,1.00582,1.00613,1.00582,1,1.00944,1.00777,1
2022-09-11 22:00:00,1.00944,1.00582,1.00944,1.00582,1,1.00944,1.00777,1
2022-09-12 02:00:00,1.00949,1.00582,1.00944,1.00582,1,1.00949,1.00874,1
2022-09-12 10:00:00,1.01476,1.00582,1.00944,1.00582,1,1.01476,1.0129,1
2022-09-12 10:00:00,1.01476,1.00582,1.00944,1.0129,1,1.01476,1.0129,1
2022-09-12 14:00:00,1.01476,1.00582,1.0139,1.0129,1,1.0139,1.01204,1
2022-09-13 06:00:00,1.01487,1.0129,1.0139,1.0129,1,1.01487,1.0137,1
2022-09-13 10:00:00,1.01681,1.0129,1.0139,1.0129,1,1.01681,1.01624,-1
2022-09-13 14:00:00,1.0139,1.00184,1.0139,1.0129,-2,1.00354,1.00184,-1
2022-09-13 18:00:00,1.0139,0.99815,1.0139,1.0129,-2,0.99927,0.99815,-1
2022-09-13 22:00:00,1.0139,0.99554,1.0139,1.0129,-2,0.9966,0.99554,-1
2022-09-13 22:00:00,1.0139,0.99554,1.0139,0.99554,-2,0.9966,0.99554,-1
2022-09-14 22:00:00,1.0139,0.99554,0.99837,0.99554,-2,0.99837,0.99788,-1
2022-09-15 02:00:00,1.0139,0.99554,0.99824,0.99554,-2,0.99824,0.99741,-1
2022-09-15 06:00:00,1.0139,0.99554,0.99679,0.99554,-2,0.99679,0.99605,-1
2022-09-15 14:00:00,1.0139,0.99554,1.00045,0.99554,-2,1.00045,0.99952,-1
2022-09-15 18:00:00,1.0139,0.99554,1.00045,0.99909,-2,0.99978,0.99909,-1
2022-09-15 22:00:00,1.0139,0.99554,1.00045,0.999,-2,0.99969,0.999,-1
2022-09-16 06:00:00,1.0139,0.99554,1.00045,0.99763,-2,0.99848,0.99763,-1
2022-09-16 10:00:00,1.0139,0.99554,1.00045,0.99649,-2,0.99739,0.99649,-1
2022-09-16 18:00:00,1.0139,0.99554,1.00045,0.99929,-2,0.9997,0.99929,-1
2022-09-18 22:00:00,1.0139,0.99554,1.00045,1.00047,-2,1.00146,1.00047,-1
2022-09-20 02:00:00,1.0139,0.99554,1.00045,1.00199,-2,1.00242,1.00199,-1
2022-09-20 06:00:00,1.0139,0.99554,1.00045,1.00128,-2,1.00242,1.00128,-1
2022-09-20 10:00:00,1.0139,0.99554,1.00045,0.99998,-2,1.00074,0.99998,-1
2022-09-20 14:00:00,1.0139,0.99554,0.99912,0.99998,-2,0.99912,0.99772,-1
2022-09-20 22:00:00,1.0139,0.99554,0.99712,0.99998,-2,0.99712,0.99652,-1
2022-09-21 02:00:00,1.0139,0.99554,0.99708,0.99998,-2,0.99708,0.99632,-1
2022-09-21 06:00:00,0.99708,0.99241,0.99708,0.99998,-2,0.99553,0.99241,-1
2022-09-21 14:00:00,0.99708,0.98981,0.99708,0.99998,-2,0.9913,0.98981,-1
2022-09-21 18:00:00,0.99708,0.98128,0.99708,0.99998,-2,0.98725,0.98128,-1
2022-09-21 18:00:00,0.99708,0.98128,0.99708,0.98128,-2,0.98725,0.98128,-1
2022-09-22 02:00:00,0.99708,0.98112,0.99708,0.98128,1,0.98229,0.98112,-1
2022-09-22 02:00:00,0.99708,0.98112,0.98229,0.98128,1,0.98229,0.98112,-1
2022-09-22 10:00:00,0.99708,0.98112,0.98229,0.98551,1,0.98674,0.98551,-1
2022-09-22 22:00:00,0.99708,0.98112,0.98389,0.98551,1,0.98389,0.98336,-1
2022-09-23 06:00:00,0.99708,0.98112,0.9838,0.98551,1,0.9838,0.98284,-1
2022-09-23 10:00:00,0.9838,0.97501,0.9838,0.98551,1,0.97649,0.97501,-1
2022-09-23 14:00:00,0.9838,0.97263,0.9838,0.98551,1,0.97374,0.97263,-1
2022-09-23 18:00:00,0.9838,0.96846,0.9838,0.98551,1,0.96939,0.96846,-1
2022-09-25 22:00:00,0.9838,0.96687,0.9838,0.98551,-1,0.96912,0.96687,-1
2022-09-25 22:00:00,0.9838,0.96687,0.9838,0.96687,-1,0.96912,0.96687,-1
2022-09-26 02:00:00,0.9838,0.96452,0.9838,0.96687,-1,0.96624,0.96452,-1
2022-09-26 06:00:00,0.9838,0.96266,0.9838,0.96687,-1,0.96444,0.96266,-1
2022-09-26 10:00:00,0.9838,0.96266,0.9838,0.96332,-1,0.96496,0.96332,-1
2022-09-26 14:00:00,0.9838,0.96266,0.9838,0.96475,-1,0.96763,0.96475,-1
2022-09-26 18:00:00,0.9838,0.95995,0.9838,0.96475,-1,0.96109,0.95995,-1
2022-09-26 18:00:00,0.9838,0.95995,0.9838,0.95995,-1,0.96109,0.95995,-1
2022-09-26 22:00:00,0.9838,0.95995,0.96135,0.95995,-1,0.96135,0.96027,-1
2022-09-27 02:00:00,0.9838,0.95995,0.96135,0.96231,-1,0.96298,0.96231,-1
2022-09-27 10:00:00,0.9838,0.95995,0.96135,0.96063,-1,0.96206,0.96063,-1
2022-09-27 14:00:00,0.96233,0.95989,0.96135,0.96063,-1,0.96233,0.95989,-1
2022-09-27 14:00:00,0.96233,0.95989,0.96135,0.95989,-1,0.96233,0.95989,-1
2022-09-27 18:00:00,0.96135,0.95806,0.96135,0.95989,-2,0.95866,0.95806,-1
2022-09-27 22:00:00,0.96135,0.95806,0.95995,0.95989,-2,0.95995,0.95949,-1
2022-09-28 02:00:00,0.95995,0.95497,0.95995,0.95989,-2,0.95642,0.95497,1
2022-09-28 10:00:00,0.96026,0.95382,0.95995,0.95989,1,0.96026,0.95382,1
